
---------- Begin Simulation Statistics ----------
simSeconds                                   0.079078                       # Number of seconds simulated (Second)
simTicks                                  79078469500                       # Number of ticks simulated (Tick)
finalTick                                 79255243000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    895.44                       # Real time elapsed on the host (Second)
hostTickRate                                 88312302                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     921144                       # Number of bytes of host memory used (Byte)
simInsts                                    169334445                       # Number of instructions simulated (Count)
simOps                                      258654408                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   189107                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     288857                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        158156939                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       388385694                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       27                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      349969216                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  19288                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            129903633                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         208178786                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  17                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           157454815                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.222664                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.839416                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  43472294     27.61%     27.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  17001826     10.80%     38.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  29029042     18.44%     56.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  23730163     15.07%     71.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  24826630     15.77%     87.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  11956863      7.59%     95.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7437997      4.72%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 6                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             157454815                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
