
---------- Begin Simulation Statistics ----------
simSeconds                                   0.076093                       # Number of seconds simulated (Second)
simTicks                                  76093086000                       # Number of ticks simulated (Tick)
finalTick                                 76267301000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    888.05                       # Real time elapsed on the host (Second)
hostTickRate                                 85685196                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     921344                       # Number of bytes of host memory used (Byte)
simInsts                                    169334445                       # Number of instructions simulated (Count)
simOps                                      258654408                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   190680                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     291260                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        152186172                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       416125215                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       25                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      370510650                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  13668                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            157643152                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         242453109                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  15                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           151489495                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.445784                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.112792                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  44956731     29.68%     29.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  13182514      8.70%     38.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  20416354     13.48%     51.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  22797389     15.05%     66.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  22638352     14.94%     81.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  12785405      8.44%     90.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  10060152      6.64%     96.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3958868      2.61%     99.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    693730      0.46%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             151489495                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
