
---------- Begin Simulation Statistics ----------
simSeconds                                   0.088762                       # Number of seconds simulated (Second)
simTicks                                  88761835500                       # Number of ticks simulated (Tick)
finalTick                                 88953555000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    802.65                       # Real time elapsed on the host (Second)
hostTickRate                                110585667                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     921036                       # Number of bytes of host memory used (Byte)
simInsts                                    169334445                       # Number of instructions simulated (Count)
simOps                                      258654408                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   210969                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     322250                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        177523671                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       339601388                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       20                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      319579032                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  24172                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             81119320                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         116491374                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  10                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           176814003                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.807431                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.525738                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  44594552     25.22%     25.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  36439003     20.61%     45.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  43564759     24.64%     70.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  25904733     14.65%     85.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  16294691      9.22%     94.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7402445      4.19%     98.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2197713      1.24%     99.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    409811      0.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      6296      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             176814003                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
