
---------- Begin Simulation Statistics ----------
simSeconds                                   0.078367                       # Number of seconds simulated (Second)
simTicks                                  78366933000                       # Number of ticks simulated (Tick)
finalTick                                 78528613500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1002.70                       # Real time elapsed on the host (Second)
hostTickRate                                 78155774                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     921472                       # Number of bytes of host memory used (Byte)
simInsts                                    169334445                       # Number of instructions simulated (Count)
simOps                                      258654408                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   168878                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     257957                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        156733866                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       519516971                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       28                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      426764063                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 690212                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            261034911                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         472143030                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  18                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           156020372                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.735310                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.521578                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  54548026     34.96%     34.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7389546      4.74%     39.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  15765315     10.10%     49.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  15091824      9.67%     59.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  19473315     12.48%     71.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  14684259      9.41%     81.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  16706670     10.71%     92.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7877496      5.05%     97.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4483921      2.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             156020372                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
